ImageKey	AlbumKey	FileName	ArchivedMD5	ArchivedSize	Latitude	Longitude	Altitude	OriginalHeight	OriginalWidth	UploadDate	LastUpdated	Uri	ThumbnailUrl	Keywords	Caption
XBK5cpj	PfCsJz	IMG_0131.JPG	53240991cc116e07450f9d6c74ae1e23	2907439	38.65155277777800	-90.57100000000000	180	2448	3264	2014-09-28T21:01:21+00:00	2018-03-18T06:07:33+00:00	/api/v2/album/PfCsJz/image/XBK5cpj-0	https://photos.smugmug.com/photos/i-XBK5cpj/0/Th/i-XBK5cpj-Th.jpg	0_lightsteelblue; 0z0; fair; geotagged; giant; grip; hand; iphone; missouri; usa	This weekend we took in the Taste of Saint Louis fair. It was held in Chesterfield&#8217;s new Central Park. The fair was disappointing: basically restaurants promoting themselves with questionable entr&#233;es. The giant, one of my favorite local sculptures, was surrounded by tents hawking artiste wares. I think the expression on the giant&#8217;s face sums up my feelings.
dHbZjrM	PfCsJz	IMG_0135.JPG	c88bb42b5407e3b1a115aa657d95d19c	139477	38.58720000000000	-90.54843333333300	0	640	640	2014-09-27T19:43:51+00:00	2018-03-18T06:07:37+00:00	/api/v2/album/PfCsJz/image/dHbZjrM-0	https://photos.smugmug.com/photos/i-dHbZjrM/0/Th/i-dHbZjrM-Th.jpg	0_gainsboro; 0z0; ballwin; geotagged; hipstamatic; mali; missouri; usa	Experimenting with Hipstamatic and the new SmugMug direct upload feature. I seldom directly load images to SmugMug or other sites simply because uploaders do not allow you to rename files or edit EXIF data. God forbid that you might ever want to download an image and retain all relevant metadata edits.
NmL2FD8	PfCsJz	amtrack train castlewood bluffs.jpg	24355d812a7fd7e0950bbc64e1eb6a0e	3416802	38.54706666666700	-90.55772500000000	133	2146	3071	2016-02-28T20:44:54+00:00	2018-03-18T06:07:41+00:00	/api/v2/album/PfCsJz/image/NmL2FD8-0	https://photos.smugmug.com/photos/i-NmL2FD8/0/Th/i-NmL2FD8-Th.jpg	0_lightgrey; 3.5x5; amtrack; bluffs; castlewood; geotagged; missouri; train; usa	There is something to be said for trespassing. This weekend I was out walking in Castlewood, one of my favorite parks. I followed the Meramec River trail to its nominal end at a railway underpass that cuts under the tracks and then heads up the bluffs back east. The trail continues west beside the river but there is a prominent No Trespassing sign warning hikers to stay out. For two years I dutifully obeyed but today I asked myself what a lifetime of following the rules has gotten me? Only chumps follow the rules these days. I headed down the trail daring the authorities to track me down. The trail is on railroad land but it quickly rejoins the western portion of Castlewood Park which, to my delight, was almost empty. The slight deterrent of a No Trespassing sign is enough to scare most law abiding chumps. On the way back the sun was shining on the Mississippian dolomite bluffs. I scrambled off the trail and climbed the railway embankment just in time to catch an Amtrak train passing the bluffs.
Pcw6Wfv	PfCsJz	antique store glass box iphone.jpg	2efa19705d706b15e2ba7b616baf0386	2517650	0.00000000000000	0.00000000000000	0	1936	2592	2011-12-11T04:15:50+00:00	2018-03-18T06:07:45+00:00	/api/v2/album/PfCsJz/image/Pcw6Wfv-0	https://photos.smugmug.com/photos/i-Pcw6Wfv/0/Th/i-Pcw6Wfv-Th.jpg	0_darkgrey; 5x6.7; antique; box; glass; iphone; store; sucker	Glass box in sunlight. I'm a sucker for shiny.
RkZXhFm	PfCsJz	antique store glass iphone.jpg	264e23c6d4b1a36050b18e4182973f76	2181561	0.00000000000000	0.00000000000000	0	1936	2592	2011-12-11T04:15:47+00:00	2018-03-18T06:07:46+00:00	/api/v2/album/PfCsJz/image/RkZXhFm-0	https://photos.smugmug.com/photos/i-RkZXhFm/0/Th/i-RkZXhFm-Th.jpg	0_rosybrown; 5x6.7; always; antique; glass; iphone; store; window	Glass in the antique store window. Bright light on glass is always a treat.
9SdwMN2	PfCsJz	antique store iphone.jpg	ae1b99f319296dd8490ca08b925fe648	1666111	38.68250000000000	-90.47600000000000	163	1936	2592	2011-12-11T04:15:57+00:00	2018-03-18T06:07:48+00:00	/api/v2/album/PfCsJz/image/9SdwMN2-0	https://photos.smugmug.com/photos/i-9SdwMN2/0/Th/i-9SdwMN2-Th.jpg	0_darkslategrey; 5x6.7; antique; geotagged; iphone; mall; missouri; store; usa	Off to the antique mall.
NSjLpvr	PfCsJz	antique store ship iphone.jpg	2ea10a8b7e1976256996192eea4b026e	2364436	0.00000000000000	0.00000000000000	0	1936	2592	2011-12-11T04:16:04+00:00	2018-03-18T06:07:52+00:00	/api/v2/album/PfCsJz/image/NSjLpvr-0	https://photos.smugmug.com/photos/i-NSjLpvr/0/Th/i-NSjLpvr-Th.jpg	0_darkolivegreen; 5x6.7; antique; flash; iphone; liked; ship; store	I liked the way the painted sails turned the flash.
fLcCDfF	PfCsJz	apartment banner bullshit iphone.jpg	15242207b5fa81da8e4340fb000c93ec	1741290	38.67516700000000	-90.43866700000000	199	1936	2592	2011-10-23T16:55:37+00:00	2018-03-18T06:07:56+00:00	/api/v2/album/PfCsJz/image/fLcCDfF-0	https://photos.smugmug.com/photos/i-fLcCDfF/0/Th/i-fLcCDfF-Th.jpg	0_darkgrey; 5x6.7; apartment; banner; bullshit; geotagged; iphone; missouri; supposedly; usa	I supposedly live here.
JGPX2HK	PfCsJz	april flowering bush.jpg	a179045a563649929c2bdbaa981e7220	2382756	38.59100000000000	-90.39983333333300	208	2592	1936	2012-04-03T14:19:44+00:00	2018-03-18T06:08:00+00:00	/api/v2/album/PfCsJz/image/JGPX2HK-0	https://photos.smugmug.com/photos/i-JGPX2HK/0/Th/i-JGPX2HK-Th.jpg	0_hotpink; 5x6.7; april; bush; flowering; geotagged; house; impressed; me; missouri; usa	The only thing that impressed me in our latest round of open houses was this nice flowering bush. The house was overpriced and smelled but I'd take this bush.
ngzQxXF	PfCsJz	arco main street cliff letters.jpg	56f421fbf4e3ffd1f6549143ab804c4d	3728769	43.63410833333300	-113.30372500000000	1626	2448	3264	2016-10-12T22:08:19+00:00	2018-03-18T06:08:03+00:00	/api/v2/album/PfCsJz/image/ngzQxXF-0	https://photos.smugmug.com/photos/i-ngzQxXF/0/Th/i-ngzQxXF-Th.jpg	0_grey; 0z0; arco; cliff; geotagged; idaho; letters; main; street; usa	I was aiming for the letters painted on the cliffs above Arco&#8217;s main street. The iPhone is not the right camera for this subject but, as usual, it&#8217;s the camera on hand.
pBHWrKs	PfCsJz	arco white gas station.jpg	fba3f0cf7088294be8194a179a3b5476	1857619	43.62429722222200	-113.30598333333000	1617	2071	2916	2016-10-12T21:56:14+00:00	2018-03-18T06:08:06+00:00	/api/v2/album/PfCsJz/image/pBHWrKs-0	https://photos.smugmug.com/photos/i-pBHWrKs/0/Th/i-pBHWrKs-Th.jpg	0_darkslateblue; 0z1; arco; gas; geotagged; idaho; station; usa; white	The late afternoon light on this white Arco Idaho gas station got my attention.
